Username,Repo_name,Stars,Repo_URL
serverless,serverless,42300,https://github.com/serverless/serverless
localstack,localstack,39000,https://github.com/localstack/localstack
donnemartin,data-science-ipython-notebooks,22600,https://github.com/donnemartin/data-science-ipython-notebooks
bregman-arie,devops-exercises,21600,https://github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,12600,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,12100,https://github.com/aws/aws-cli
kubernetes-sigs,kubespray,12000,https://github.com/kubernetes-sigs/kubespray
pulumi,pulumi,11700,https://github.com/pulumi/pulumi
donnemartin,awesome-aws,10200,https://github.com/donnemartin/awesome-aws
apereo,cas,9300,https://github.com/apereo/cas
mozilla,sops,9300,https://github.com/mozilla/sops
aws,chalice,8700,https://github.com/aws/chalice
aws-amplify,amplify-js,8600,https://github.com/aws-amplify/amplify-js
apex,up,8500,https://github.com/apex/up
aws,serverless-application-model,8400,https://github.com/aws/serverless-application-model
aws,aws-cdk,8400,https://github.com/aws/aws-cdk
google,go-cloud,8300,https://github.com/google/go-cloud
caprover,caprover,8300,https://github.com/caprover/caprover
angristan,openvpn-install,7600,https://github.com/angristan/openvpn-install
aws,aws-sdk-go,7500,https://github.com/aws/aws-sdk-go
boto,boto3,7100,https://github.com/boto/boto3
hashicorp,terraform-provider-aws,7000,https://github.com/hashicorp/terraform-provider-aws
aws,aws-sdk-js,7000,https://github.com/aws/aws-sdk-js
GoogleCloudPlatform,terraformer,7000,https://github.com/GoogleCloudPlatform/terraformer
aws,amazon-sagemaker-examples,6700,https://github.com/aws/amazon-sagemaker-examples
awslabs,aws-shell,6500,https://github.com/awslabs/aws-shell
gruntwork-io,terratest,6000,https://github.com/gruntwork-io/terratest
99designs,aws-vault,6000,https://github.com/99designs/aws-vault
aws,aws-sam-cli,5900,https://github.com/aws/aws-sam-cli
gruntwork-io,terragrunt,5700,https://github.com/gruntwork-io/terragrunt
