Username,Repo_name,Stars,Repo_URL
babel,babel,40500,https://github.com/babel/babel
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
kriasoft,react-starter-kit,21100,https://github.com/kriasoft/react-starter-kit
swc-project,swc,21000,https://github.com/swc-project/swc
avajs,ava,19700,https://github.com/avajs/ava
electron-react-boilerplate,electron-react-boilerplate,19100,https://github.com/electron-react-boilerplate/electron-react-boilerplate
SimulatedGREG,electron-vue,14800,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14300,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,10800,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,7800,https://github.com/grommet/grommet
developit,htm,7500,https://github.com/developit/htm
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,5500,https://github.com/documentationjs/documentation
ben-rogerson,twin.macro,5500,https://github.com/ben-rogerson/twin.macro
insin,nwb,5400,https://github.com/insin/nwb
egoist,poi,5300,https://github.com/egoist/poi
thinkjs,thinkjs,5300,https://github.com/thinkjs/thinkjs
transitive-bullshit,create-react-library,4600,https://github.com/transitive-bullshit/create-react-library
babel,babel-loader,4600,https://github.com/babel/babel-loader
fkling,astexplorer,4500,https://github.com/fkling/astexplorer
duxianwei520,react,4500,https://github.com/duxianwei520/react
jaredpalmer,backpack,4500,https://github.com/jaredpalmer/backpack
babel,minify,4300,https://github.com/babel/minify
tleunen,babel-plugin-module-resolver,3200,https://github.com/tleunen/babel-plugin-module-resolver
thx,gogocode,3000,https://github.com/thx/gogocode
andywer,webpack-blocks,3000,https://github.com/andywer/webpack-blocks
babel,babel-eslint,3000,https://github.com/babel/babel-eslint
kunalkapadia,express-mongoose-es6-rest-api,2800,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
privatenumber,esbuild-loader,2800,https://github.com/privatenumber/esbuild-loader
uidotdev,react-course,2500,https://github.com/uidotdev/react-course
